Epoch  #, Training Set Acc, Generalization Set Acc, Training Set MSE, Generalization Set MSE
0,0,0,0.283931,0.284574
5,0,0,0.283931,0.284574
10,0,0,0.283931,0.284574
15,0,0,0.283931,0.284574
20,0,0,0.283931,0.284574
25,0,0,0.283931,0.284574
30,0,0,0.283931,0.284574
35,0,0,0.283931,0.284574
40,0,0,0.283931,0.284574
45,0,0,0.283931,0.284574
50,0,0,0.283931,0.284574
55,0,0,0.283931,0.284574
60,0,0,0.283931,0.284574
65,0,0,0.283931,0.284574
70,0,0,0.283931,0.284574
75,0,0,0.283931,0.284574
80,0,0,0.283931,0.284574
85,0,0,0.283931,0.284574
90,0,0,0.283931,0.284574
95,0,0,0.283931,0.284574
100,0,0,0.283931,0.284574
105,0,0,0.283931,0.284574
110,0,0,0.283931,0.284574
115,0,0,0.283931,0.284574
120,0,0,0.283931,0.284574
125,0,0,0.283931,0.284574
130,0,0,0.283931,0.284574
135,0,0,0.283931,0.284574
140,0,0,0.283931,0.284574
145,0,0,0.283931,0.284574
150,0,0,0.283931,0.284574

NN Training Completed!
Number of Epochs: 150
Validation Set Accuracy: 0
Validation Set MSE: 0.298027
