Epoch  #, Training Set Acc, Generalization Set Acc, Training Set MSE, Generalization Set MSE
0,0,0,0.223767,0.22373
5,0,0,0.223767,0.22373
10,0,0,0.223767,0.22373
15,0,0,0.223767,0.22373
20,0,0,0.223767,0.22373
25,0,0,0.223767,0.22373
30,0,0,0.223767,0.22373
35,0,0,0.223767,0.22373
40,0,0,0.223767,0.22373
45,0,0,0.223767,0.22373
50,0,0,0.223767,0.22373
55,0,0,0.223767,0.22373
60,0,0,0.223767,0.22373
65,0,0,0.223767,0.22373
70,0,0,0.223767,0.22373
75,0,0,0.223767,0.22373
80,0,0,0.223767,0.22373
85,0,0,0.223767,0.22373
90,0,0,0.223767,0.22373
95,0,0,0.223767,0.22373
100,0,0,0.223767,0.22373
105,0,0,0.223767,0.22373
110,0,0,0.223767,0.22373
115,0,0,0.223767,0.22373
120,0,0,0.223767,0.22373
125,0,0,0.223767,0.22373
130,0,0,0.223767,0.22373
135,0,0,0.223767,0.22373
140,0,0,0.223767,0.22373
145,0,0,0.223767,0.22373
150,0,0,0.223767,0.22373
155,0,0,0.223767,0.22373
160,0,0,0.223767,0.22373
165,0,0,0.223767,0.22373
170,0,0,0.223767,0.22373
175,0,0,0.223767,0.22373
180,0,0,0.223767,0.22373
185,0,0,0.223767,0.22373
190,0,0,0.223767,0.22373
195,0,0,0.223767,0.22373
200,0,0,0.223767,0.22373
205,0,0,0.223767,0.22373
210,0,0,0.223767,0.22373
215,0,0,0.223767,0.22373
220,0,0,0.223767,0.22373
225,0,0,0.223767,0.22373
230,0,0,0.223767,0.22373
235,0,0,0.223767,0.22373
240,0,0,0.223767,0.22373
245,0,0,0.223767,0.22373
250,0,0,0.223767,0.22373
255,0,0,0.223767,0.22373
260,0,0,0.223767,0.22373
265,0,0,0.223767,0.22373
270,0,0,0.223767,0.22373
275,0,0,0.223767,0.22373
280,0,0,0.223767,0.22373
285,0,0,0.223767,0.22373
290,0,0,0.223767,0.22373
295,0,0,0.223767,0.22373
300,0,0,0.223767,0.22373

NN Training Completed!
Number of Epochs: 300
Validation Set Accuracy: 0
Validation Set MSE: 0.223875
